time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫,開機次數,運轉時間
1560299070.0,20.2,17.8,30.9,32.5,0.0,4.85,28.5,0.0,4.86,0.0,20.3,20.1,69.0,1824.0,2.69,50.5,135.3,8.83,69.7,38.0,5.9,14.0,100.0,33154.0
1560299250.0,19.4,17.6,29.4,31.5,0.0,4.64,28.5,0.0,4.7,0.0,19.6,19.1,75.0,2110.0,3.01,50.8,137.6,8.69,86.8,37.6,8.5,14.0,100.0,33156.0
1560299431.0,18.5,16.7,29.2,31.3,0.0,4.52,28.5,0.0,4.53,0.0,18.5,18.3,75.0,2198.0,3.12,49.8,136.9,8.6,86.8,37.3,9.4,14.0,100.0,33158.0
1560299612.0,17.7,15.8,29.0,31.1,0.0,4.35,28.6,0.0,4.39,0.0,17.8,17.7,75.0,2213.0,3.1,48.7,135.4,8.51,86.0,36.8,9.3,14.0,100.0,33160.0
1560299793.0,17.0,15.0,28.9,30.9,0.0,4.22,28.6,0.0,4.24,0.0,16.8,16.6,75.0,2213.0,3.03,47.9,134.2,8.4,85.3,36.5,8.7,14.0,100.0,33162.0
1560300235.0,15.8,14.1,28.5,30.3,0.0,4.01,28.8,0.0,4.02,0.0,15.5,15.4,75.0,2213.0,2.91,46.7,130.7,8.19,83.6,35.5,8.0,14.0,100.0,33164.0
1560300416.0,15.5,13.8,28.2,29.9,0.0,3.93,28.9,0.0,3.91,0.0,14.8,14.8,63.0,2213.0,3.07,44.7,126.2,7.84,67.5,34.3,9.2,14.5,100.0,33166.0
1560300597.0,15.4,14.2,27.5,28.8,0.0,3.91,29.0,0.0,3.91,0.0,14.6,14.6,45.0,2007.0,3.25,39.9,113.0,7.26,43.5,32.0,10.4,14.5,100.0,33168.0
1560300777.0,15.8,14.8,26.8,27.8,0.0,3.97,29.1,0.0,3.99,0.0,15.2,15.4,39.0,1725.0,3.23,37.5,108.4,6.99,35.9,30.8,10.4,14.5,100.0,33170.0
1560300958.0,16.1,14.4,26.7,27.6,0.0,4.07,29.2,0.0,4.08,0.0,15.7,15.7,39.0,1485.0,2.61,38.4,108.9,7.12,36.5,30.9,5.8,14.5,100.0,33172.0
1560301138.0,16.5,15.1,28.3,29.0,0.0,4.13,29.3,0.0,4.1,0.0,16.2,16.2,33.0,1405.0,2.92,38.3,111.2,7.33,32.0,32.4,7.9,14.5,100.0,33174.0
1560301261.0,16.9,15.0,29.4,30.0,0.0,4.18,29.4,0.0,4.19,0.0,16.6,16.4,33.0,1386.0,2.66,39.9,114.0,7.5,32.6,33.0,6.1,14.5,100.0,33176.0
1560301442.0,17.2,15.5,30.2,31.0,0.0,4.24,29.5,0.0,4.24,0.0,16.7,16.8,33.0,1386.0,2.85,40.4,116.2,7.64,32.7,32.5,7.2,14.5,100.0,33178.0
1560301622.0,17.6,15.6,27.1,28.0,0.0,4.28,29.5,0.0,4.3,0.0,17.0,16.9,39.0,1501.0,2.65,39.8,109.4,7.06,36.4,31.0,5.7,14.5,100.0,33180.0
1560301802.0,17.8,15.8,26.4,27.6,0.0,4.33,29.6,0.0,4.34,0.0,17.4,17.1,48.0,1668.0,2.69,40.4,111.2,7.17,45.5,31.5,6.5,14.5,100.0,33182.0
1560301983.0,17.7,15.6,26.5,27.9,0.0,4.33,29.6,0.0,4.33,0.0,17.3,17.3,57.0,1790.0,2.7,41.7,116.9,7.39,56.7,32.6,6.2,14.5,100.0,33184.0
1560302170.0,17.4,15.4,26.9,28.5,0.0,4.28,29.6,0.0,4.32,0.0,17.2,17.0,66.0,1965.0,2.73,43.7,122.4,7.68,68.7,33.6,6.7,14.5,100.0,33186.0
1560302354.0,17.1,15.2,27.2,28.8,0.0,4.27,29.6,0.0,4.27,0.0,16.9,16.9,66.0,2015.0,2.77,44.3,123.9,7.74,69.1,34.0,6.9,14.5,100.0,33188.0
1560302536.0,16.7,15.0,27.4,29.0,0.0,4.24,29.7,0.0,4.23,0.0,16.7,16.8,66.0,2042.0,2.87,44.3,124.4,7.77,69.5,34.1,7.3,14.5,100.0,33190.0
1560302665.0,16.5,14.8,27.4,29.0,0.0,4.18,29.7,0.0,4.18,0.0,16.4,16.5,66.0,2053.0,2.81,44.3,124.3,7.75,69.6,34.1,7.3,14.5,100.0,33192.0
1560302845.0,16.3,14.7,27.6,29.2,0.0,4.17,29.8,0.0,4.15,0.0,16.3,16.1,66.0,2053.0,2.85,44.3,124.5,7.83,70.0,34.1,7.5,14.5,100.0,33194.0
1560303026.0,16.0,14.5,27.5,29.2,0.0,4.1,29.8,0.0,4.1,0.0,16.1,16.0,66.0,2053.0,2.82,44.2,124.4,7.77,69.7,34.1,7.5,14.5,100.0,33196.0
