time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫,開機次數,運轉時間
1555893069.0,20.0,18.2,28.8,30.0,0.0,4.75,25.6,0.0,4.76,0.0,19.8,19.8,60.0,1828.0,2.96,45.5,125.9,7.97,64.6,35.2,7.9,15.0,69.0,21934.0
1555893189.0,19.5,17.4,30.6,32.1,0.0,4.69,25.6,0.0,4.72,0.0,19.6,19.4,66.0,1828.0,2.77,48.3,132.4,8.56,74.2,36.7,6.9,15.0,69.0,21936.0
1555893310.0,19.0,17.1,32.6,34.1,0.0,4.6,25.7,0.0,4.62,0.0,19.0,18.9,69.0,1954.0,2.97,51.3,139.2,9.09,81.1,39.0,7.7,15.0,69.0,21938.0
1555893430.0,18.5,16.7,30.4,32.4,0.0,4.53,25.7,0.0,4.53,0.0,18.4,18.5,75.0,2072.0,2.93,50.4,135.3,8.63,85.9,37.3,8.0,15.0,69.0,21940.0
1555893551.0,17.9,16.2,29.8,31.9,0.0,4.42,25.8,0.0,4.4,0.0,17.7,17.8,75.0,2179.0,2.97,50.1,134.9,8.53,85.6,36.9,8.3,15.0,69.0,21942.0
1555893671.0,17.4,15.5,29.7,31.7,0.0,4.29,25.8,0.0,4.33,0.0,17.2,17.1,75.0,2213.0,3.02,49.0,134.5,8.46,85.3,36.6,8.5,15.0,69.0,21944.0
1555893957.0,16.3,14.5,29.4,31.2,0.0,4.03,25.9,0.0,4.04,0.0,15.4,15.2,63.0,2233.0,3.1,45.8,128.5,8.0,68.6,34.3,9.4,15.0,69.0,21946.0
1555894078.0,15.8,14.5,28.8,30.1,0.0,3.99,26.0,0.0,4.03,0.0,15.4,15.4,45.0,2110.0,3.21,42.2,115.5,7.47,51.6,32.7,10.1,15.0,69.0,21948.0
1555894198.0,15.7,14.8,28.3,29.2,0.0,4.03,26.1,0.0,4.03,0.0,15.5,15.5,35.4,2000.0,3.23,39.5,110.6,7.18,30.5,31.1,10.7,15.0,69.0,21950.0
1555894318.0,15.9,15.1,27.6,28.3,0.0,4.07,26.2,0.0,4.07,0.0,15.8,15.5,30.0,1706.0,3.37,36.9,105.5,6.86,27.2,30.1,11.1,15.0,69.0,21952.0
