time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫,開機次數,運轉時間
1551748032.0,19.8,17.3,21.1,22.2,0.0,4.73,24.7,0.0,4.74,52.4,19.4,19.1,57.0,1710.0,2.36,41.7,108.5,6.46,52.4,29.8,3.3,nan,33.0,9356.0
1551748152.0,19.1,16.3,23.0,24.1,0.0,4.57,24.5,0.0,4.59,61.8,18.5,18.5,66.0,1779.0,2.36,45.0,116.3,6.99,61.8,31.6,3.7,nan,33.0,9358.0
1551748273.0,17.9,15.4,25.1,26.6,0.0,4.37,24.4,0.0,4.4,68.1,17.7,17.7,66.0,1779.0,2.4,47.2,121.7,7.58,68.1,33.1,4.0,nan,33.0,9360.0
1551749002.0,14.5,13.8,30.6,31.4,0.0,3.91,24.5,0.0,3.87,29.9,14.6,14.8,30.0,1333.0,3.1,39.2,115.7,7.63,29.9,33.4,9.2,nan,33.0,9368.0
1551749123.0,14.5,13.8,30.9,31.5,0.0,3.91,24.6,0.0,3.89,30.4,14.5,14.5,30.0,1333.0,3.06,39.0,117.4,7.84,30.4,34.2,9.0,nan,33.0,9370.0
1551749243.0,14.4,13.7,31.1,31.7,0.0,3.91,24.6,0.0,3.89,30.5,14.5,14.6,30.0,1333.0,2.98,39.1,117.6,7.83,30.5,34.0,8.4,nan,33.0,9372.0
1551749363.0,14.4,13.6,30.7,31.4,0.0,3.88,24.7,0.0,3.91,30.1,14.6,14.6,30.0,1333.0,2.95,38.8,115.6,7.7,30.1,33.7,8.0,nan,33.0,9374.0
1551750092.0,14.4,13.5,31.1,31.7,0.0,3.86,25.0,0.0,3.89,30.3,14.6,14.6,30.0,1333.0,2.91,38.6,117.0,7.87,30.3,34.3,8.0,nan,33.0,9382.0
1551750213.0,14.4,13.5,31.5,32.2,0.0,3.86,25.1,0.0,3.84,30.1,14.5,14.5,30.0,1333.0,2.92,38.7,116.2,7.88,30.1,34.2,8.0,nan,33.0,9384.0
1551750333.0,14.4,13.5,31.2,31.8,0.0,3.84,25.1,0.0,3.84,30.2,14.5,14.5,30.0,1333.0,2.91,38.4,115.8,7.83,30.2,34.1,8.0,nan,33.0,9386.0
