time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫,開機次數,運轉時間
1561940996.0,18.2,16.7,29.1,30.3,0.0,4.44,28.4,0.0,4.43,0.0,17.8,17.9,54.0,1680.0,3.35,44.2,127.1,8.2,58.4,35.7,10.5,15.0,107.0,36968.0
1561941176.0,18.0,16.3,29.7,31.4,0.0,4.48,28.5,0.0,4.47,0.0,18.0,18.2,63.0,1866.0,2.9,47.8,131.4,8.48,70.5,36.7,7.7,15.0,107.0,36972.0
1561941356.0,17.8,15.9,30.3,32.0,0.0,4.44,28.6,0.0,4.45,0.0,17.9,17.9,66.0,1935.0,2.9,49.2,133.6,8.65,75.3,37.5,8.1,15.0,107.0,36976.0
1561941537.0,17.6,16.0,30.6,32.5,0.0,4.42,28.6,0.0,4.39,0.0,17.7,17.8,66.0,1992.0,3.03,48.4,135.5,8.76,75.8,37.9,8.7,15.0,107.0,36980.0
1561941717.0,17.3,15.7,30.8,32.6,0.0,4.38,28.7,0.0,4.39,0.0,17.6,17.5,66.0,2011.0,3.01,48.0,135.2,8.79,75.8,37.9,8.5,15.0,107.0,36984.0
1561941718.0,17.3,15.7,30.8,32.6,0.0,4.38,28.7,0.0,4.39,0.0,17.6,17.5,66.0,2011.0,3.01,48.0,135.2,8.79,75.8,37.9,8.5,15.0,107.0,36986.0
1561941899.0,17.1,15.5,30.9,32.7,0.0,4.32,28.8,0.0,4.37,0.0,17.3,17.2,66.0,2042.0,3.0,47.8,134.8,8.78,75.5,37.9,8.7,15.0,107.0,36988.0
1561942079.0,16.9,15.3,31.0,32.8,0.0,4.3,28.9,0.0,4.34,0.0,17.3,17.1,66.0,2042.0,3.0,47.5,134.6,8.75,75.2,37.9,8.4,15.0,107.0,36992.0
1561942267.0,16.8,15.2,31.0,32.7,0.0,4.29,29.0,0.0,4.3,0.0,17.1,17.0,66.0,2053.0,3.02,47.2,134.5,8.78,75.3,37.9,8.7,15.0,107.0,36996.0
1561942442.0,16.7,15.1,31.0,32.8,0.0,4.28,29.0,0.0,4.3,0.0,17.0,16.8,66.0,2053.0,3.02,47.1,134.8,8.76,75.3,37.7,8.4,15.0,107.0,37000.0
1561942622.0,16.6,15.0,31.0,32.7,0.0,4.27,29.2,0.0,4.25,0.0,16.8,16.9,66.0,2076.0,3.06,47.0,134.7,8.75,75.6,37.9,9.3,15.0,107.0,37004.0
1561942810.0,16.5,14.8,30.9,32.6,0.0,4.15,29.2,0.0,4.13,0.0,16.6,16.5,60.0,2019.0,3.17,45.2,132.2,8.63,64.7,37.3,9.9,15.0,107.0,37008.0
1561942985.0,16.6,15.2,30.6,32.1,0.0,4.18,29.4,0.0,4.18,0.0,16.3,16.4,54.0,1893.0,3.1,43.5,126.0,8.36,58.1,36.3,9.5,15.0,107.0,37012.0
1561943171.0,16.7,15.3,30.3,31.8,0.0,4.23,29.5,0.0,4.22,0.0,16.5,16.6,54.0,1866.0,2.97,43.5,124.6,8.23,57.4,35.9,8.4,15.0,107.0,37016.0
1561943347.0,16.9,15.4,30.2,31.7,0.0,4.24,29.6,0.0,4.25,0.0,16.8,16.7,54.0,1866.0,2.98,43.4,124.4,8.23,57.2,35.8,8.6,15.0,107.0,37020.0
1561943527.0,17.0,15.5,30.2,31.6,0.0,4.25,29.6,0.0,4.25,0.0,16.9,16.9,54.0,1866.0,2.96,43.3,124.2,8.23,57.4,35.9,8.5,15.0,107.0,37024.0
1561943716.0,17.0,15.5,30.2,31.7,0.0,4.27,29.7,0.0,4.29,0.0,16.9,16.8,54.0,1866.0,2.98,43.3,124.5,8.28,57.3,36.0,8.4,15.0,107.0,37028.0
1561943900.0,17.1,15.6,30.2,31.7,0.0,4.28,29.8,0.0,4.3,0.0,17.2,16.9,54.0,1866.0,3.0,43.2,124.3,8.24,57.3,35.9,8.5,15.0,107.0,37032.0
1561944072.0,17.2,15.7,30.3,31.7,0.0,4.3,29.9,0.0,4.33,0.0,17.2,17.0,54.0,1866.0,3.02,43.2,124.6,8.3,57.4,35.9,8.6,15.0,107.0,37036.0
1561944124.0,17.2,15.7,30.2,31.7,0.0,4.33,29.9,0.0,4.33,0.0,17.2,17.1,54.0,1866.0,3.0,43.2,124.3,8.26,57.5,36.0,8.5,15.0,107.0,37040.0
1561944297.0,17.3,15.8,30.0,31.5,0.0,4.33,30.0,0.0,4.34,0.0,17.3,17.3,54.0,1866.0,3.01,43.2,124.3,8.24,57.2,35.9,8.6,15.0,107.0,37044.0
1561944478.0,17.4,15.9,30.1,31.6,0.0,4.32,30.0,0.0,4.34,0.0,17.4,17.3,54.0,1866.0,3.0,43.2,124.3,8.24,57.3,35.9,8.7,15.0,107.0,37048.0
1561944658.0,17.4,15.9,30.0,31.5,0.0,4.35,30.1,0.0,4.35,0.0,17.4,17.4,54.0,1866.0,3.02,43.2,124.4,8.25,57.3,35.9,8.7,15.0,107.0,37052.0
1561944838.0,17.4,16.0,30.1,31.6,0.0,4.34,30.2,0.0,4.38,0.0,17.6,17.4,54.0,1866.0,3.01,43.2,124.6,8.25,57.4,35.9,8.7,15.0,107.0,37056.0
1561945018.0,17.5,16.0,30.0,31.5,0.0,4.37,30.3,0.0,4.37,0.0,17.5,17.3,54.0,1866.0,3.01,43.2,124.3,8.25,57.5,35.9,8.7,15.0,107.0,37060.0
1561945200.0,17.6,15.9,30.2,31.8,0.0,4.39,30.4,0.0,4.39,0.0,17.6,17.6,57.0,1866.0,2.93,44.0,126.8,8.38,61.6,36.4,8.0,15.0,107.0,37064.0
1561945380.0,17.5,15.9,30.2,31.8,0.0,4.38,30.5,0.0,4.39,0.0,17.6,17.4,57.0,1885.0,2.98,44.3,126.9,8.38,61.7,36.4,8.3,15.0,107.0,37068.0
1561945561.0,17.5,16.0,30.3,31.9,0.0,4.39,30.5,0.0,4.39,0.0,17.6,17.6,57.0,1885.0,3.0,44.3,127.4,8.4,61.9,36.5,8.4,15.0,107.0,37072.0
1561945741.0,17.5,16.0,30.3,31.9,0.0,4.35,30.6,0.0,4.4,0.0,17.7,17.5,57.0,1885.0,3.0,44.4,127.6,8.41,62.0,36.6,8.6,15.0,107.0,37076.0
1561945921.0,17.5,16.0,30.2,31.8,0.0,4.39,30.7,0.0,4.4,0.0,17.7,17.7,57.0,1885.0,3.0,44.4,127.5,8.41,61.8,36.5,8.7,15.0,107.0,37080.0
1561946240.0,17.3,15.8,30.1,31.7,0.0,4.38,30.8,0.0,4.39,0.0,17.6,17.6,57.0,1885.0,2.97,44.4,127.1,8.36,61.8,36.3,8.4,15.0,107.0,37084.0
