time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫,開機次數,運轉時間
1554770201.0,17.4,15.5,26.1,27.4,0.0,4.32,26.0,0.0,4.33,0.0,17.3,17.3,54.0,1798.0,2.7,42.5,114.0,7.14,52.2,31.3,6.5,15.0,59.0,17702.0
1554770321.0,17.1,15.3,26.5,27.9,0.0,4.28,26.0,0.0,4.28,0.0,17.0,16.8,54.0,1798.0,2.82,42.7,115.1,7.26,53.0,31.7,6.9,15.0,59.0,17704.0
1554770445.0,16.7,15.0,26.9,28.2,0.0,4.25,26.0,0.0,4.22,0.0,16.7,16.6,54.0,1798.0,2.76,42.6,115.3,7.23,52.9,32.1,7.1,15.0,59.0,17706.0
1554770565.0,16.4,15.0,27.0,28.3,0.0,4.19,26.0,0.0,4.18,0.0,16.3,16.4,48.0,1817.0,2.95,41.6,112.9,7.14,46.2,31.4,8.3,15.0,59.0,17708.0
1554770685.0,16.1,15.0,26.9,28.1,0.0,4.15,26.1,0.0,4.14,0.0,16.2,16.1,42.0,1714.0,3.07,39.6,109.5,6.98,39.3,30.7,9.1,15.0,59.0,17710.0
1554770805.0,16.0,15.0,26.5,27.5,0.0,4.13,26.1,0.0,4.1,0.0,15.9,16.0,36.0,1596.0,3.18,37.5,105.9,6.81,32.8,29.9,10.0,15.0,59.0,17712.0
1554771084.0,16.1,14.7,25.8,26.5,0.0,4.13,26.3,0.0,4.17,0.0,16.1,16.1,30.0,1383.0,2.77,36.8,103.4,6.52,26.6,28.6,6.8,15.0,59.0,17714.0
1554771204.0,16.3,14.7,25.5,26.2,0.0,4.17,26.3,0.0,4.15,0.0,16.3,16.1,30.0,1383.0,2.73,36.7,102.6,6.48,26.4,28.3,6.5,15.0,59.0,17716.0
1554771325.0,16.4,14.8,25.2,26.0,0.0,4.15,26.4,0.0,4.17,0.0,16.4,16.4,30.0,1398.0,2.76,36.5,102.2,6.41,26.1,28.3,6.7,15.0,59.0,17718.0
1554771445.0,16.6,15.0,25.1,25.8,0.0,4.22,26.4,0.0,4.19,0.0,16.4,16.5,30.0,1398.0,2.77,36.3,101.7,6.42,26.1,28.0,6.9,15.0,59.0,17720.0
