time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫,開機次數,運轉時間
1556845354.0,20.4,17.7,25.6,27.0,0.0,4.84,26.4,0.0,4.85,0.0,20.4,20.2,60.0,1764.0,2.47,45.9,117.1,7.17,59.5,31.6,4.1,15.0,76.0,24758.0
1556845475.0,19.8,17.1,26.8,28.2,0.0,4.74,26.4,0.0,4.75,0.0,19.7,19.7,66.0,1764.0,2.31,48.4,120.9,7.52,67.8,33.0,3.1,15.0,76.0,24760.0
1556845596.0,19.2,17.0,28.2,29.6,0.0,4.62,26.5,0.0,4.67,0.0,19.2,19.1,72.0,1973.0,2.91,50.7,131.0,8.23,79.2,36.2,8.0,15.0,76.0,24762.0
1556845716.0,18.8,16.8,29.4,31.3,0.0,4.59,26.5,0.0,4.59,0.0,18.8,18.8,78.0,2065.0,2.9,51.1,142.2,8.63,91.3,37.3,6.2,15.0,76.0,24764.0
1556846079.0,16.4,14.7,29.1,31.1,0.0,4.14,26.7,0.0,4.15,0.0,16.1,16.1,68.3,2213.0,3.02,47.8,129.6,8.04,68.4,34.9,9.0,15.0,76.0,24766.0
1556846199.0,15.8,14.2,27.9,29.5,0.0,3.97,26.7,0.0,3.97,0.0,15.1,15.1,57.0,2129.0,3.13,43.7,120.7,7.47,58.4,32.8,9.4,15.0,76.0,24768.0
1556846320.0,15.3,14.1,26.5,27.8,0.0,3.92,26.8,0.0,3.92,0.0,14.9,15.1,42.8,2042.0,3.18,39.9,110.2,6.91,42.5,30.0,10.2,15.0,76.0,24770.0
1556846440.0,15.1,14.4,27.6,28.3,0.0,3.96,26.9,0.0,3.96,0.0,15.1,14.9,33.0,1786.0,3.26,37.9,106.5,6.98,30.6,30.8,10.4,15.0,76.0,24772.0
1556846561.0,15.2,14.5,28.1,28.8,0.0,3.97,27.0,0.0,3.99,0.0,15.1,14.9,30.0,1607.0,3.27,37.2,107.3,7.07,27.7,31.1,10.4,15.0,76.0,24774.0
1556846681.0,15.3,14.6,28.6,29.2,0.0,3.99,27.0,0.0,4.02,0.0,15.4,15.4,30.0,1333.0,3.2,37.3,109.5,7.19,28.2,31.5,10.2,15.0,76.0,24776.0
1556846801.0,15.4,14.3,29.1,29.6,0.0,3.99,27.1,0.0,4.02,0.0,15.2,15.2,30.0,1333.0,2.92,38.1,111.9,7.37,28.9,32.2,8.0,15.0,76.0,24778.0
1556846922.0,15.5,14.2,28.7,29.4,0.0,4.02,27.2,0.0,4.02,0.0,15.4,15.2,30.0,1333.0,2.7,38.4,110.0,7.16,28.7,31.4,6.4,15.0,76.0,24780.0
1556847042.0,15.7,14.2,28.8,29.3,0.0,4.04,27.2,0.0,4.04,0.0,15.7,15.7,30.0,1333.0,2.72,38.5,111.2,7.31,28.8,31.9,6.4,15.0,76.0,24782.0
1556847163.0,15.9,14.3,28.7,29.2,0.0,4.07,27.3,0.0,4.07,0.0,15.7,15.5,30.0,1333.0,2.73,38.5,110.4,7.22,28.8,31.8,6.5,15.0,76.0,24784.0
1556847283.0,16.0,14.5,29.2,29.8,0.0,4.06,27.3,0.0,4.09,0.0,15.8,15.7,30.0,1333.0,2.75,38.8,111.0,7.32,28.9,32.1,6.9,15.0,76.0,24786.0
1556847404.0,16.1,14.6,29.4,29.9,0.0,4.1,27.4,0.0,4.09,0.0,15.8,15.8,30.0,1333.0,2.76,38.9,113.0,7.46,29.3,32.6,6.7,15.0,76.0,24788.0
1556847524.0,16.2,14.6,29.4,30.0,0.0,4.12,27.4,0.0,4.09,0.0,15.9,16.1,30.0,1333.0,2.77,39.0,113.2,7.39,29.2,32.4,6.9,15.0,76.0,24790.0
1556847842.0,16.5,14.8,28.7,29.3,0.0,4.17,27.6,0.0,4.14,0.0,16.1,16.3,30.0,1333.0,2.72,38.7,111.0,7.18,28.6,31.6,6.5,15.0,76.0,24792.0
1556847962.0,16.6,14.8,29.1,29.6,0.0,4.19,27.6,0.0,4.17,0.0,16.2,16.4,30.0,1333.0,2.73,38.9,111.9,7.36,29.0,32.2,6.7,15.0,76.0,24794.0
1556848082.0,16.7,14.9,29.4,30.0,0.0,4.17,27.7,0.0,4.18,0.0,16.4,16.5,30.0,1333.0,2.78,39.1,112.9,7.42,29.2,32.6,6.8,15.0,76.0,24796.0
1556848203.0,16.7,14.9,28.8,29.4,0.0,4.22,27.7,0.0,4.19,0.0,16.4,16.5,30.0,1333.0,2.72,38.9,110.5,7.21,28.8,31.7,6.5,15.0,76.0,24798.0
1556848323.0,16.8,15.0,29.3,29.9,0.0,4.22,27.8,0.0,4.2,0.0,16.4,16.4,30.0,1333.0,2.73,39.1,112.5,7.31,28.8,32.4,6.9,15.0,76.0,24800.0
1556848444.0,16.9,15.1,29.6,30.1,0.0,4.22,27.8,0.0,4.22,0.0,16.4,16.6,30.0,1333.0,2.76,39.3,113.8,7.48,29.3,32.2,6.4,15.0,76.0,24802.0
1556848564.0,16.9,15.1,29.6,30.2,0.0,4.24,27.8,0.0,4.22,0.0,16.6,16.6,30.0,1333.0,2.8,39.3,112.6,7.43,29.1,32.6,6.9,15.0,76.0,24804.0
1556848685.0,17.0,15.2,29.6,30.2,0.0,4.23,27.9,0.0,4.24,0.0,16.6,16.8,30.0,1333.0,2.76,39.4,114.4,7.46,29.4,32.7,6.9,15.0,76.0,24806.0
1556848987.0,17.1,15.3,29.5,30.2,0.0,4.27,28.0,0.0,4.25,0.0,17.0,16.8,30.0,1333.0,2.8,39.5,113.9,7.43,29.5,32.7,6.9,15.0,76.0,24808.0
1556849107.0,17.1,15.4,29.8,30.5,0.0,4.27,28.1,0.0,4.27,0.0,16.9,16.8,30.0,1333.0,2.8,39.6,113.6,7.42,29.4,32.9,7.1,15.0,76.0,24810.0
1556849227.0,17.2,15.4,29.6,30.2,0.0,4.27,28.1,0.0,4.27,0.0,17.0,17.0,30.0,1333.0,2.77,39.6,113.0,7.43,29.3,32.8,6.9,15.0,76.0,24812.0
1556849347.0,17.2,15.5,30.0,30.7,0.0,4.25,28.1,0.0,4.29,0.0,17.0,17.0,30.0,1333.0,2.82,39.8,114.3,7.5,29.9,33.2,7.3,15.0,76.0,24814.0
1556849468.0,17.3,15.4,29.1,29.8,0.0,4.29,28.2,0.0,4.29,0.0,17.0,17.0,30.0,1333.0,2.76,39.5,110.4,7.14,28.0,30.6,6.2,15.0,76.0,24816.0
1556849588.0,17.3,15.5,26.3,27.1,0.0,4.27,28.3,0.0,4.29,0.0,17.0,16.8,30.0,1409.0,2.81,37.8,103.6,6.62,26.7,28.8,7.5,15.0,76.0,24818.0
