time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫,開機次數,運轉時間
1558313599.0,18.8,16.9,31.0,32.6,0.0,4.58,27.3,0.0,4.59,0.0,18.8,18.7,63.0,1851.0,2.87,48.1,134.6,8.7,72.2,37.5,7.5,15.0,84.0,28120.0
1558313779.0,18.5,16.5,29.4,31.2,0.0,4.53,27.3,0.0,4.53,0.0,18.8,18.6,69.0,1981.0,2.96,49.2,136.4,8.38,79.1,36.1,7.1,15.0,84.0,28122.0
1558313960.0,18.1,16.4,29.1,31.0,0.0,4.49,27.4,0.0,4.48,0.0,18.2,18.1,75.0,2129.0,2.92,49.1,136.4,8.44,86.9,36.5,8.1,15.0,84.0,28124.0
1558314140.0,17.6,15.9,29.2,31.2,0.0,4.39,27.5,0.0,4.39,0.0,17.6,17.6,75.0,2205.0,3.06,48.5,137.3,8.46,87.5,36.8,9.1,15.0,84.0,28126.0
1558314322.0,17.2,15.3,29.3,31.4,0.0,4.27,27.5,0.0,4.3,0.0,17.2,17.0,75.0,2225.0,3.06,47.9,137.3,8.45,87.2,36.7,8.8,15.0,84.0,28128.0
1558314502.0,16.8,14.9,29.2,31.2,0.0,4.24,27.6,0.0,4.23,0.0,16.5,16.5,75.0,2225.0,2.98,47.5,135.8,8.39,86.3,36.4,8.7,15.0,84.0,28130.0
1558314682.0,16.5,14.8,28.7,30.2,0.0,4.03,27.7,0.0,4.06,0.0,15.7,15.5,57.0,2175.0,3.3,43.2,120.6,7.67,60.4,34.2,10.5,15.0,84.0,28132.0
1558314862.0,16.5,15.2,28.0,29.2,0.0,4.06,27.8,0.0,4.08,0.0,15.8,15.7,45.0,1794.0,3.3,39.6,114.4,7.39,44.0,32.6,11.1,15.0,84.0,28134.0
1558315043.0,16.7,15.4,27.6,28.8,0.0,4.15,28.0,0.0,4.15,0.0,16.3,16.5,45.0,1642.0,2.98,39.3,112.7,7.32,43.0,32.1,7.9,15.0,84.0,28136.0
1558315304.0,17.0,15.2,27.1,28.2,0.0,4.22,28.1,0.0,4.22,0.0,16.7,16.7,45.0,1657.0,2.78,40.0,111.3,7.19,42.6,31.5,7.5,15.0,84.0,28138.0
