time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫,開機次數,運轉時間
1553045010.0,21.6,19.3,26.9,28.2,0.0,5.06,25.0,0.0,5.05,59.3,21.4,21.3,60.0,1786.0,2.82,45.6,125.1,7.84,59.3,34.3,7.6,nan,45.0,12950.0
1553045131.0,20.8,18.5,28.7,29.9,0.0,4.9,25.0,0.0,4.91,73.4,20.8,20.5,66.0,1786.0,2.66,48.6,131.2,8.46,73.4,36.5,6.1,nan,45.0,12952.0
1553045251.0,20.0,17.8,30.6,32.1,0.0,4.79,25.0,0.0,4.81,80.1,19.9,20.0,69.0,1786.0,2.59,52.0,137.0,8.92,80.1,38.3,5.2,nan,45.0,12954.0
1553045372.0,19.4,17.9,32.8,34.3,0.0,4.67,25.1,0.0,4.69,85.9,19.4,19.3,69.0,2049.0,3.26,52.0,146.5,9.67,85.9,41.0,10.4,nan,45.0,12956.0
1553045492.0,18.7,17.2,31.7,33.9,0.0,4.53,25.1,0.0,4.53,81.6,18.6,18.5,69.0,2114.0,3.12,50.4,138.6,8.95,81.6,38.7,9.4,nan,45.0,12958.0
1553046226.0,15.7,14.9,29.0,29.7,0.0,4.01,25.7,0.0,4.04,28.5,15.5,15.4,30.0,1754.0,3.35,38.4,110.2,7.27,28.5,32.1,11.1,nan,45.0,12966.0
1553046346.0,15.8,15.0,29.9,30.6,0.0,4.06,25.8,0.0,4.07,29.3,15.7,15.5,30.0,1550.0,3.32,38.2,113.9,7.6,29.3,33.4,10.8,nan,45.0,12968.0
1553046467.0,15.9,15.1,30.6,31.3,0.0,4.08,25.8,0.0,4.08,30.1,15.8,15.7,30.0,1333.0,3.3,38.5,115.2,7.75,30.1,34.1,10.6,nan,45.0,12970.0
1553046587.0,16.0,15.1,31.3,32.0,0.0,4.09,25.9,0.0,4.09,29.4,15.9,15.8,30.0,1333.0,3.16,39.0,115.5,7.79,29.4,33.3,9.5,nan,45.0,12972.0
1553047332.0,16.7,15.3,30.4,31.0,0.0,4.19,26.4,0.0,4.18,30.3,16.4,16.5,30.0,1333.0,2.88,39.7,117.2,7.75,30.3,34.0,7.6,nan,45.0,12980.0
1553047452.0,16.8,15.4,31.1,31.7,0.0,4.2,26.4,0.0,4.19,30.7,16.4,16.4,30.0,1333.0,2.91,40.1,118.6,7.89,30.7,34.3,8.0,nan,45.0,12982.0
1553047572.0,16.9,15.2,28.0,28.8,0.0,4.22,26.5,0.0,4.22,28.3,16.5,16.5,30.0,1333.0,2.69,38.9,109.2,7.03,28.3,30.9,6.3,nan,45.0,12984.0
1553047693.0,17.0,15.3,26.5,27.3,0.0,4.24,26.6,0.0,4.23,27.1,16.5,16.7,30.0,1375.0,2.77,38.0,105.0,6.75,27.1,29.6,6.7,nan,45.0,12986.0
1553047813.0,17.0,15.6,27.7,28.3,0.0,4.25,26.6,0.0,4.23,28.4,16.7,16.9,30.0,1394.0,2.93,38.0,109.7,7.18,28.4,31.4,8.5,nan,45.0,12988.0
1553047933.0,17.1,15.5,28.2,28.8,0.0,4.28,26.7,0.0,4.24,28.8,16.7,16.8,30.0,1356.0,2.82,38.5,111.3,7.26,28.8,32.0,7.3,nan,45.0,12990.0
1553048054.0,17.1,15.6,29.3,29.8,0.0,4.24,26.7,0.0,4.24,29.7,16.8,16.7,30.0,1356.0,2.92,39.1,113.7,7.48,29.7,32.8,8.0,nan,45.0,12992.0
1553048174.0,17.1,15.6,30.0,30.7,0.0,4.25,26.8,0.0,4.29,30.3,16.8,16.8,30.0,1333.0,2.87,39.6,116.5,7.69,30.3,33.7,7.7,nan,45.0,12994.0
1553048294.0,17.2,15.7,30.8,31.4,0.0,4.27,26.8,0.0,4.27,30.8,17.0,17.0,30.0,1333.0,2.88,40.1,118.3,7.83,30.8,34.2,8.0,nan,45.0,12996.0
1553048966.0,17.3,15.8,29.4,29.9,0.0,4.29,27.1,0.0,4.3,29.8,17.0,16.9,30.0,1356.0,2.92,39.3,114.3,7.54,29.8,33.1,8.0,nan,45.0,13004.0
1553049087.0,17.3,15.8,30.3,30.9,0.0,4.3,27.1,0.0,4.3,30.5,17.1,17.0,30.0,1333.0,2.86,39.9,117.2,7.78,30.5,33.9,7.6,nan,45.0,13006.0
1553049207.0,17.4,15.9,30.8,31.5,0.0,4.29,27.2,0.0,4.3,30.0,17.3,17.0,30.0,1333.0,2.88,40.4,116.3,7.73,30.0,34.0,7.9,nan,45.0,13008.0
1553049328.0,17.4,15.7,27.7,28.5,0.0,4.28,27.3,0.0,4.29,27.9,17.1,17.1,30.0,1371.0,2.76,39.1,108.8,7.02,27.9,30.7,6.8,nan,45.0,13010.0
1553050192.0,17.3,15.7,27.2,28.0,0.0,4.28,27.6,0.0,4.32,30.7,17.1,16.9,33.0,1451.0,2.87,39.3,108.4,6.96,30.7,30.4,7.7,nan,45.0,13018.0
1553050312.0,17.3,15.8,26.2,27.0,0.0,4.3,27.6,0.0,4.32,30.9,17.1,16.9,33.0,1451.0,2.88,38.5,107.5,6.91,30.9,30.9,8.0,nan,45.0,13020.0
1553050433.0,17.3,15.8,28.1,28.8,0.0,4.29,27.6,0.0,4.29,31.7,17.1,16.9,33.0,1405.0,2.88,39.2,111.9,7.26,31.7,32.1,7.6,nan,45.0,13022.0
1553051181.0,17.1,15.7,27.7,28.3,0.0,4.28,27.8,0.0,4.28,31.7,16.9,16.9,33.0,1402.0,3.02,38.8,111.1,7.27,31.7,32.0,8.6,nan,45.0,13030.0
1553051301.0,17.0,15.4,28.3,28.9,0.0,4.27,27.8,0.0,4.25,32.4,16.8,17.0,33.0,1402.0,2.78,39.5,112.9,7.34,32.4,32.6,7.1,nan,45.0,13032.0
1553051421.0,16.9,15.4,29.5,30.2,0.0,4.23,27.9,0.0,4.24,33.2,17.0,16.9,33.0,1402.0,2.9,40.1,116.1,7.64,33.2,33.5,7.7,nan,45.0,13034.0
1553051542.0,16.8,15.2,30.5,31.2,0.0,4.25,27.9,0.0,4.24,34.0,16.7,16.6,33.0,1371.0,2.8,41.0,118.6,7.84,34.0,34.4,7.3,nan,45.0,13036.0
1553052271.0,16.6,15.1,29.7,30.2,0.0,4.22,28.1,0.0,4.18,30.0,16.4,16.5,30.0,1333.0,2.86,39.3,115.4,7.59,30.0,33.2,7.7,nan,45.0,13044.0
1553052391.0,16.6,15.1,30.6,31.2,0.0,4.23,28.1,0.0,4.2,30.5,16.4,16.4,30.0,1333.0,2.85,39.9,118.4,7.8,30.5,34.1,7.6,nan,45.0,13046.0
1553052512.0,16.6,15.0,28.6,29.4,0.0,4.18,28.1,0.0,4.18,28.5,16.4,16.5,30.0,1333.0,2.71,39.1,109.9,7.09,28.5,31.4,6.5,nan,45.0,13048.0
1553052632.0,16.6,15.0,27.2,27.9,0.0,4.22,28.1,0.0,4.19,27.8,16.4,16.3,30.0,1363.0,2.71,38.4,107.3,6.89,27.8,30.2,6.5,nan,45.0,13050.0
1553053366.0,17.0,15.4,28.3,29.1,0.0,4.27,28.3,0.0,4.25,28.5,16.8,16.9,30.0,1333.0,2.71,39.0,109.9,7.11,28.5,31.3,6.5,nan,45.0,13058.0
1553053486.0,17.1,15.5,26.9,27.7,0.0,4.28,28.3,0.0,4.25,27.5,16.8,16.9,30.0,1375.0,2.8,38.2,106.2,6.84,27.5,30.0,6.9,nan,45.0,13060.0
1553053606.0,17.2,15.7,26.4,27.1,0.0,4.27,28.3,0.0,4.27,27.7,16.9,16.9,30.0,1398.0,2.87,37.5,107.1,6.92,27.7,30.6,8.0,nan,45.0,13062.0
1553053727.0,17.2,15.8,27.8,28.4,0.0,4.27,28.3,0.0,4.28,28.2,16.9,16.9,30.0,1360.0,2.93,38.0,109.7,7.14,28.2,31.4,8.0,nan,45.0,13064.0
1553054461.0,17.3,15.8,26.7,27.3,0.0,4.29,28.5,0.0,4.3,27.9,17.1,17.0,30.0,1390.0,2.87,37.8,108.1,6.98,27.9,30.8,7.7,nan,45.0,13072.0
1553054581.0,17.3,15.9,27.7,28.4,0.0,4.27,28.5,0.0,4.32,28.4,17.2,17.0,30.0,1390.0,2.93,38.2,109.2,7.14,28.4,31.3,8.0,nan,45.0,13074.0
1553054702.0,17.3,15.8,28.8,29.3,0.0,4.28,28.5,0.0,4.3,29.3,17.2,17.0,30.0,1356.0,2.91,38.8,112.7,7.41,29.3,32.5,7.7,nan,45.0,13076.0
1553054822.0,17.4,15.8,29.5,30.1,0.0,4.3,28.5,0.0,4.33,29.7,17.3,17.1,30.0,1333.0,2.83,39.4,115.4,7.55,29.7,33.2,7.3,nan,45.0,13078.0
1553054942.0,17.4,15.8,30.3,30.9,0.0,4.32,28.5,0.0,4.32,30.5,17.3,17.0,30.0,1333.0,2.86,40.0,117.4,7.74,30.5,33.9,7.5,nan,45.0,13080.0
1553055063.0,17.4,15.8,29.5,30.4,0.0,4.3,28.6,0.0,4.33,29.0,17.2,17.1,30.0,1333.0,2.8,39.8,112.4,7.36,29.0,32.1,6.9,nan,45.0,13082.0
1553055183.0,17.4,15.8,27.8,28.4,0.0,4.3,28.6,0.0,4.32,28.3,17.3,17.0,30.0,1371.0,2.78,39.0,108.8,7.04,28.3,31.0,7.3,nan,45.0,13084.0
1553055304.0,17.5,15.8,26.6,27.4,0.0,4.32,28.6,0.0,4.33,27.3,17.3,17.0,30.0,1398.0,2.78,38.2,106.3,6.83,27.3,29.9,7.3,nan,45.0,13086.0
1553055424.0,17.5,16.0,27.2,27.7,0.0,4.32,28.6,0.0,4.35,28.4,17.3,17.3,30.0,1398.0,2.93,38.0,109.1,7.11,28.4,31.3,8.3,nan,45.0,13088.0
1553055544.0,17.5,15.8,28.1,28.8,0.0,4.32,28.6,0.0,4.34,31.8,17.3,17.2,33.0,1398.0,2.76,39.4,112.0,7.29,31.8,32.2,6.8,nan,45.0,13090.0
