time,h1,h2,h3,C.O.P,Tevwi,Tcdwi,operation_num,running_time
1547081255.0,407.05438937838755,424.166335454318,246.52553401899686,9.381098715895856,15.5,29.8,1.0,10.0
1547081375.0,406.1754555252875,424.2711787732938,247.54984279497313,8.765917258808148,15.5,30.4,1.0,12.0
1547082104.0,404.6661656816975,425.25362688054753,242.3053815413249,7.8863917494325095,15.7,26.7,1.0,20.0
1547082225.0,405.49480137194524,424.80829286373825,243.90132791110386,8.366870046749867,15.8,28.1,1.0,22.0
1547082345.0,405.1796558069647,424.8311898289306,244.9195867755382,8.155092058070014,15.8,28.8,1.0,24.0
1547082465.0,405.3055505222578,424.96725322982854,246.233570150543,8.090447848673051,15.8,29.4,1.0,26.0
1547083194.0,405.3055505222578,424.90887840931487,243.90132791110386,8.23351134771969,16.0,28.1,1.0,34.0
1547083315.0,405.5330517185268,424.7128042365526,244.9198482624835,8.37410197577335,16.0,28.7,1.0,36.0
1547083435.0,405.49480137194524,424.925203352657,246.23341237161938,8.196505103621751,16.0,29.4,1.0,38.0
1547083555.0,405.6347037221278,424.88949374534667,247.25691356655702,8.225370931835,16.0,30.1,1.0,40.0
1547084285.0,405.05397960712037,424.8941642697695,245.21155699618598,8.056498733696376,16.1,28.7,1.0,48.0
1547084405.0,405.2175478635023,425.0267524870656,245.94093320001969,8.04053558384779,16.2,29.4,1.0,50.0
1547084525.0,405.70942636013785,424.9705425231447,247.40349065917005,8.218938838290825,16.2,30.1,1.0,52.0
1547084646.0,405.9134485445226,425.00235347741176,248.13636763756332,8.26538145910706,16.2,30.8,1.0,54.0
1547085375.0,405.3055505222578,424.98471982897274,246.08699146118204,8.090715445328627,16.2,29.5,1.0,62.0
1547085495.0,405.6845414561471,424.94938224218447,247.40339994834687,8.21606278846166,16.2,30.2,1.0,64.0
1547085615.0,405.761537542689,425.00235347741176,248.28334479349613,8.184590158934018,16.2,30.9,1.0,66.0
1547085735.0,405.3424589134027,425.73591571878535,243.46536951239113,7.937697416667755,16.3,28.7,1.0,68.0
1547086465.0,405.8857898059538,424.95296122690684,247.69736470349204,8.296376091139942,16.3,29.9,1.0,76.0
1547086585.0,405.9134485445226,425.52870993195694,247.55132347377946,8.07341395777632,16.3,30.6,1.0,78.0
1547086705.0,404.8912452470917,425.5846835420074,242.44984894446213,7.849898793403543,16.3,27.5,1.0,80.0
1547086826.0,405.4040348483332,425.31826998110733,242.01580696880438,8.204594692699525,16.3,26.5,1.0,82.0
1547087555.0,405.05397960712037,425.63566037551766,243.46536951239113,7.851089126931021,16.3,28.6,1.0,90.0
1547087675.0,405.0287442693593,425.43204882553067,241.7257844147413,8.003750539773424,16.3,26.9,1.0,92.0
1547087795.0,405.58104573116975,424.6402649192235,243.7567261816104,8.49060593473789,16.3,26.8,1.0,94.0
1547087916.0,405.3055505222578,424.62391351514566,244.1921961776304,8.339907185921605,16.3,28.0,1.0,96.0
1547088645.0,405.1040688915722,424.6651529678258,243.03029629711713,8.285520984555555,16.3,26.6,1.0,104.0
1547088765.0,405.5330517185268,424.7703819877453,243.75601697050175,8.409536691631446,16.3,27.9,1.0,106.0
1547088886.0,405.3555035573126,424.7088469059116,245.50325684029144,8.259670891881978,16.3,28.8,1.0,108.0
1547089006.0,405.28053965287387,425.0267524870656,246.08714591724868,8.06197092436745,16.2,29.4,1.0,110.0
