time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫
1558800014,21.3,16.8,24.8,25.3,0,4.94,27,0,4.96,0,21,20.8,0,0,5.01,27.2,0,5.03,0,21.3,21.2,15
1558800195,21.3,16.7,24.8,25.3,0,4.94,27,0,4.94,0,20.8,20.8,0,0,5,27.1,0,5.04,0,21.1,21.1,15
1558800375,21.3,16.7,24.8,25.3,0,4.91,27,0,4.94,0,21,20.8,0,0,5,27.1,0,4.99,0,21.3,21.2,15
1558800556,21.3,16.7,24.8,25.3,0,4.94,27,0,4.94,0,20.9,20.6,0,0,5,27.1,0,5,0,21.1,21.2,15
1558800736,21.3,16.7,24.8,25.3,0,4.95,27,0,4.95,0,20.9,20.7,0,0,5,27.1,0,5.01,0,21.1,21.1,15
1558800916,21.3,16.7,24.8,25.3,0,4.94,27,0,4.94,0,20.9,20.8,0,0,4.99,27.1,0,5,0,21.3,21.1,15
1558801098,21.3,16.7,24.8,25.3,0,4.91,27,0,4.94,0,20.8,20.8,0,0,5,27.1,0,4.99,0,21.1,21.2,15
1558801277,21.3,16.7,24.8,25.3,0,4.94,27,0,4.95,0,21,20.7,0,0,4.99,27.1,0,5.03,0,21.2,21.1,15
1558801458,21.3,16.7,24.8,25.3,0,4.94,27,0,4.95,0,20.8,20.7,0,0,5,27.1,0,5.03,0,21.3,21.2,15
1558801638,21.3,16.7,24.8,25.3,0,4.94,27,0,4.95,0,20.8,20.9,0,0,5,27.1,0,5,0,21.2,21.1,15
1558801818,21.3,16.7,24.8,25.3,0,4.93,27,0,4.94,0,20.9,20.8,0,0,4.99,27.1,0,4.99,0,21.1,21.1,15
1558801999,21.3,16.7,24.8,25.3,0,4.94,27,0,4.94,0,20.8,20.7,0,0,5,27.1,0,5,0,21.2,21.1,15
1558802179,21.3,16.7,24.9,25.3,0,4.91,27,0,4.94,0,20.8,20.6,0,0,5,27.1,0,5,0,21.1,21.1,15
1558802360,21.3,16.7,24.9,25.3,0,4.91,27,0,4.95,0,20.9,20.8,0,0,4.99,27.1,0,5.04,0,21.3,21.1,15
1558802541,21.3,17,24.9,25.3,0,4.91,27,0,4.98,0,20.8,20.8,0,0,5,27.1,0,5.03,0,21.1,21.1,15
1558802721,21.4,16.8,24.9,25.3,0,4.9,27,0,4.93,0,20.9,20.8,0,0,5,27.1,0,4.99,0,21.3,21.1,15
1558802901,21.4,16.8,24.9,25.3,0,4.94,27,0,4.94,0,20.8,20.8,0,0,4.99,27.1,0,5.03,0,21.1,21.1,15
1558803030,21.4,16.8,24.9,25.3,0,4.94,27,0,4.96,0,20.9,20.8,0,0,4.99,27.1,0,4.99,0,21,21,15
1558803208,21.4,16.8,24.9,25.3,0,4.9,27,0,4.94,0,20.8,20.8,0,0,4.99,27.1,0,4.99,0,21,21.1,15
1558803391,21.4,16.9,24.9,25.3,0,4.91,27,0,4.96,0,20.9,20.6,0,0,4.99,27.1,0,5,0,21,21.1,15
1558803572,21.5,16.8,24.9,25.3,0,4.94,27,0,4.93,0,20.9,20.8,0,0,4.99,27.1,0,4.99,0,21,21,15
1558803754,21.5,16.8,24.9,25.3,0,4.93,27,0,4.95,0,20.8,20.8,0,0,4.99,27.1,0,4.99,0,21.1,21.1,15
