time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫
1548432006,19,16.2,22.1,23.9,0,4.55,24.9,0,4.54,0,18.5,18.7,0,0,4.63,24.8,0,4.62,0,19,19,
1548432126,19,16.1,22.1,23.9,0,4.57,24.9,0,4.54,0,18.6,18.6,0,0,4.63,24.8,0,4.62,0,19.2,19.1,
1548432247,19.1,16.1,22.1,23.9,0,4.58,24.9,0,4.55,0,18.5,18.7,0,0,4.63,24.8,0,4.63,0,19,19,
1548432367,19.1,16.1,22.1,23.9,0,4.57,24.9,0,4.54,0,18.7,18.7,0,0,4.62,24.8,0,4.64,0,19,19,
1548432487,19.1,16.1,22.1,23.9,0,4.55,24.9,0,4.57,0,18.6,18.7,0,0,4.63,24.8,0,4.63,0,19,19,
1548432695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1548432815,19.1,16,22.1,23.8,0,4.55,24.9,0,4.55,0,18.5,18.6,0,0,4.63,24.8,0,4.63,0,19,19,
1548432935,19.1,16,22.1,23.8,0,4.58,24.9,0,4.55,0,18.6,18.7,0,0,4.64,24.8,0,4.63,0,19,19,
1548433056,19.1,16,22.1,23.8,0,4.58,24.9,0,4.55,0,18.6,18.7,0,0,4.63,24.8,0,4.62,0,19,19,
1548433176,19.1,16,22.1,23.8,0,4.54,24.9,0,4.54,0,18.6,18.8,0,0,4.63,24.8,0,4.64,0,19,19,
1548433296,19.1,16,22.1,23.8,0,4.57,24.9,0,4.57,0,18.6,18.7,0,0,4.62,24.8,0,4.62,0,19,19,
1548433417,19.1,16,22.1,23.8,0,4.57,24.9,0,4.57,0,18.7,18.7,0,0,4.62,24.8,0,4.62,0,19,19.1,
1548433537,19.1,16,22.1,23.8,0,4.57,24.9,0,4.55,0,18.7,18.8,0,0,4.63,24.8,0,4.62,0,19.1,19.1,
1548433933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1548434053,19.1,16,22.1,23.8,0,4.58,24.9,0,4.57,0,18.7,18.7,0,0,4.63,24.8,0,4.63,0,19,19,
1548434174,19.1,16,22.1,23.8,0,4.58,24.9,0,4.58,0,18.7,18.8,0,0,4.63,24.8,0,4.62,0,19.2,19.1,
1548434294,19.1,16,22.1,23.8,0,4.55,24.9,0,4.57,0,18.7,18.7,0,0,4.62,24.8,0,4.62,0,19,19,
1548434414,19.2,16,22.1,23.8,0,4.57,24.9,0,4.57,0,18.8,18.8,0,0,4.62,24.8,0,4.62,0,19,19.1,
1548434534,19.2,16.1,22.1,23.7,0,4.57,24.9,0,4.57,0,18.7,18.7,0,0,4.63,24.8,0,4.63,0,19,19,
1548434654,19.2,16.1,22.1,23.7,0,4.58,24.9,0,4.57,0,18.7,18.7,0,0,4.64,24.8,0,4.63,0,19,19.1,
1548434775,19.2,16.1,22.1,23.7,0,4.57,24.9,0,4.57,0,18.8,18.6,0,0,4.62,24.8,0,4.64,0,19,19.1,
1548436561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1548436679,19.2,16.3,22.1,23.7,0,4.57,24.8,0,4.58,0,18.7,18.7,0,0,4.63,24.8,0,4.62,0,19,19.1,
1548436800,19.2,16.3,22.1,23.6,0,4.58,24.8,0,4.58,0,18.8,18.8,0,0,4.63,24.8,0,4.64,0,19.1,19.1,
1548436920,19.2,16.3,22.1,23.6,0,4.57,24.8,0,4.58,0,18.8,18.7,0,0,4.62,24.8,0,4.62,0,19,19,
1548437041,19.2,16.3,22.1,23.6,0,4.58,24.8,0,4.59,0,18.8,18.8,0,0,4.64,24.8,0,4.63,0,19.1,19.1,
1548437162,19.3,16.3,22.1,23.6,0,4.57,24.8,0,4.59,0,18.8,18.7,0,0,4.63,24.8,0,4.64,0,19,19.1,
1548437281,19.3,16.3,22.1,23.6,0,4.59,24.8,0,4.62,0,18.8,18.8,0,0,4.65,24.8,0,4.64,0,19.1,19.1,
1548437402,19.3,16.3,22.1,23.6,0,4.57,24.8,0,4.58,0,19,18.8,0,0,4.63,24.8,0,4.62,0,19.1,19.1,
1548437675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1548437795,19.3,16.5,22.1,23.6,0,4.59,24.8,0,4.59,0,18.8,18.7,0,0,4.64,24.8,0,4.64,0,19.1,19.1,
1548437916,19.3,16.5,22.1,23.6,0,4.58,24.8,0,4.6,0,18.8,18.8,0,0,4.64,24.8,0,4.64,0,19.1,19.1,
1548438036,19.3,16.6,22.1,23.6,0,4.58,24.8,0,4.59,0,18.8,18.8,0,0,4.64,24.8,0,4.64,0,19.1,19.1,
1548438156,19.3,16.6,22.1,23.6,0,4.57,24.8,0,4.59,0,18.8,18.7,0,0,4.63,24.8,0,4.65,0,19.1,19.1,
1548438277,19.3,16.6,22.1,23.6,0,4.58,24.8,0,4.6,0,18.9,18.8,0,0,4.64,24.8,0,4.65,0,19.1,19.1,
1548438397,19.3,16.6,22.1,23.6,0,4.57,24.8,0,4.59,0,18.9,18.8,0,0,4.63,24.8,0,4.64,0,19.1,19.1,
1548438517,19.3,16.7,22.1,23.6,0,4.58,24.8,0,4.6,0,18.8,18.8,0,0,4.64,24.8,0,4.64,0,19.1,19.1,
1548438853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1548438973,19.3,16.8,22.1,23.6,0,4.58,24.8,0,4.59,0,18.9,18.8,0,0,4.63,24.8,0,4.63,0,19.2,19.1,
1548439094,19.3,16.8,22.1,23.6,0,4.58,24.8,0,4.59,0,18.8,18.8,0,0,4.63,24.8,0,4.64,0,19.3,19.1,
1548439214,19.3,16.7,22.1,23.6,0,4.59,24.8,0,4.62,0,18.8,18.8,0,0,4.64,24.8,0,4.65,0,19.2,19.1,
1548439335,19.3,16.7,22.1,23.6,0,4.57,24.8,0,4.59,0,19.1,18.8,0,0,4.64,24.8,0,4.64,0,19.2,19.1,
1548439455,19.3,16.7,22.1,23.5,0,4.58,24.8,0,4.59,0,18.8,18.8,0,0,4.64,24.8,0,4.64,0,19.1,19,
1548439575,19.3,16.7,22.1,23.5,0,4.59,24.8,0,4.59,0,19,18.9,0,0,4.64,24.8,0,4.64,0,19.2,19.2,
1548439696,19.3,16.7,22.1,23.5,0,4.59,24.8,0,4.64,0,19,18.8,0,0,4.64,24.8,0,4.65,0,19.2,19.1,
1548439979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1548440099,19.4,16.7,22.1,23.5,0,4.59,24.8,0,4.6,0,19.1,18.9,0,0,4.64,24.8,0,4.64,0,19.2,19.2,
1548440220,19.4,16.7,22.1,23.5,0,4.59,24.8,0,4.6,0,18.8,18.8,0,0,4.64,24.7,0,4.64,0,19.1,19.2,
1548440340,19.4,16.6,22.1,23.5,0,4.57,24.8,0,4.59,0,18.9,18.9,0,0,4.64,24.7,0,4.64,0,19.1,19.3,
1548440461,19.4,16.6,22.2,23.5,0,4.59,24.8,0,4.6,0,19,18.8,0,0,4.62,24.7,0,4.64,0,19.2,19.3,
1548440582,19.4,16.6,22.2,23.5,0,4.59,24.8,0,4.59,0,18.9,18.9,0,0,4.65,24.7,0,4.64,0,19.4,19.3,
1548440701,19.4,16.6,22.2,23.5,0,4.59,24.8,0,4.59,0,18.9,18.8,0,0,4.65,24.7,0,4.64,0,19.1,19.2,
1548440821,19.4,16.6,22.2,23.5,0,4.59,24.8,0,4.62,0,19,18.9,0,0,4.65,24.7,0,4.65,0,19.1,19.3,
1548442814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1548442934,19.4,16.4,22.2,23.4,0,4.6,24.8,0,4.65,0,19.1,18.9,0,0,4.65,24.7,0,4.65,0,19.3,19.1,
1548443055,19.4,16.4,22.2,23.4,0,4.6,24.8,0,4.62,0,19.1,18.8,0,0,4.65,24.7,0,4.65,0,19.3,19.3,
1548443175,19.4,16.4,22.2,23.4,0,4.59,24.8,0,4.63,0,19.1,18.9,0,0,4.68,24.7,0,4.67,0,19.3,19.3,
1548443296,19.5,16.3,22.2,23.4,0,4.62,24.8,0,4.63,0,19.1,18.9,0,0,4.65,24.7,0,4.65,0,19.2,19.3,
1548443416,19.5,16.3,22.2,23.4,0,4.62,24.7,0,4.63,0,19,19,0,0,4.65,24.7,0,4.67,0,19.4,19.3,
1548443536,19.5,16.3,22.2,23.4,0,4.62,24.7,0,4.64,0,19.1,19,0,0,4.67,24.7,0,4.68,0,19.3,19.2,
1548443657,19.5,16.3,22.2,23.4,0,4.62,24.7,0,4.64,0,19.1,19.1,0,0,4.65,24.7,0,4.65,0,19.3,19.3,
1548444344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1548444464,19.5,16.2,22.2,23.4,0,4.63,24.7,0,4.64,0,19.1,19,0,0,4.67,24.7,0,4.68,0,19.4,19.3,
1548444584,19.5,16.2,22.2,23.4,0,4.63,24.7,0,4.64,0,19.1,19,0,0,4.65,24.7,0,4.67,0,19.3,19.2,
1548444704,19.5,16.2,22.2,23.4,0,4.63,24.7,0,4.64,0,19.1,19.1,0,0,4.67,24.7,0,4.68,0,19.5,19.3,
1548444825,19.5,16.2,22.2,23.4,0,4.59,24.7,0,4.63,0,19.1,19.1,0,0,4.65,24.7,0,4.67,0,19.3,19.4,
1548444945,19.5,16.2,22.2,23.4,0,4.62,24.7,0,4.64,0,19.1,19,0,0,4.68,24.7,0,4.67,0,19.3,19.3,
1548445065,19.5,16.2,22.2,23.4,0,4.62,24.7,0,4.64,0,19.1,19,0,0,4.65,24.7,0,4.67,0,19.3,19.2,
1548445186,19.5,16.2,22.2,23.4,0,4.63,24.7,0,4.64,0,19.1,18.9,0,0,4.65,24.7,0,4.67,0,19.4,19.3,
1548445579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1548445699,19.5,16.2,22.2,23.4,0,4.63,24.7,0,4.65,0,19.1,19,0,0,4.67,24.7,0,4.68,0,19.4,19.3,
1548445820,19.5,16.2,22.2,23.4,0,4.63,24.7,0,4.64,0,19.1,18.8,0,0,4.67,24.7,0,4.67,0,19.3,19.2,
1548445940,19.5,16.1,22.2,23.4,0,4.62,24.7,0,4.63,0,19.1,19,0,0,4.65,24.7,0,4.67,0,19.3,19.2,
1548446061,19.5,16.1,22.2,23.4,0,4.62,24.7,0,4.64,0,19.3,19,0,0,4.67,24.7,0,4.67,0,19.4,19.3,
1548446181,19.5,16.2,22.2,23.4,0,4.63,24.7,0,4.65,0,19.1,19.1,0,0,4.67,24.7,0,4.67,0,19.3,19.3,
1548446301,19.5,16.2,22.2,23.4,0,4.62,24.7,0,4.64,0,19.1,19,0,0,4.67,24.7,0,4.67,0,19.3,19.3,
1548446422,19.5,16.2,22.2,23.4,0,4.63,24.7,0,4.65,0,19.1,19,0,0,4.67,24.7,0,4.68,0,19.3,19.3,
1548446832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1548446952,19.5,16.1,22.2,23.3,0,4.62,24.7,0,4.64,0,19.1,18.8,0,0,4.67,24.7,0,4.67,0,19.3,19.2,
1548447073,19.5,16.1,22.2,23.3,0,4.63,24.7,0,4.65,0,19.1,19,0,0,4.65,24.7,0,4.67,0,19.3,19.2,
1548447193,19.5,16.1,22.2,23.3,0,4.59,24.7,0,4.64,0,19.1,18.8,0,0,4.67,24.7,0,4.67,0,19.3,19.3,
1548447313,19.5,16.1,22.2,23.3,0,4.63,24.7,0,4.68,0,19.2,19,0,0,4.68,24.7,0,4.67,0,19.4,19.4,
1548447434,19.5,16.1,22.2,23.3,0,4.63,24.7,0,4.64,0,19.3,19.1,0,0,4.67,24.7,0,4.67,0,19.4,19.3,
1548447554,19.6,16.1,22.2,23.3,0,4.59,24.7,0,4.64,0,19.4,19.1,0,0,4.65,24.7,0,4.67,0,19.4,19.4,
1548447674,19.6,16.1,22.2,23.3,0,4.62,24.7,0,4.65,0,19.3,19.1,0,0,4.67,24.7,0,4.68,0,19.4,19.4,
1548448575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1548448695,19.6,16,22.2,23.3,0,4.63,24.7,0,4.65,0,19.3,19.1,0,0,4.68,24.7,0,4.68,0,19.4,19.4,
1548448815,19.6,16,22.2,23.3,0,4.64,24.7,0,4.67,0,19.3,19.1,0,0,4.68,24.7,0,4.69,0,19.4,19.4,
1548448936,19.6,16,22.2,23.3,0,4.63,24.7,0,4.67,0,19.1,19,0,0,4.68,24.7,0,4.68,0,19.3,19.3,
1548449056,19.6,16,22.2,23.3,0,4.63,24.7,0,4.65,0,19.3,19.1,0,0,4.68,24.7,0,4.67,0,19.4,19.4,
