time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫
1547827307,22.7,17.8,23.7,24.7,0,5.29,25.3,0,5.31,0,22.9,22.7,0,0,5.09,25.3,0,5.1,0,21.7,21.5,
1547827427,22.7,17.8,23.7,24.7,0,5.33,25.3,0,5.33,0,22.9,22.8,0,0,5.09,25.3,0,5.1,0,21.8,21.6,
1547827548,22.7,17.8,23.7,24.7,0,5.31,25.3,0,5.31,0,22.8,22.7,0,0,5.06,25.3,0,5.1,0,21.7,21.4,
1547827795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1547827915,22.7,17.9,23.7,24.7,0,5.29,25.3,0,5.33,0,22.8,22.8,0,0,5.06,25.3,0,5.14,0,21.6,21.4,
1547828036,22.7,17.8,23.7,24.7,0,5.3,25.3,0,5.31,0,22.9,22.8,0,0,5.06,25.3,0,5.09,0,21.6,21.5,
1547828157,22.7,17.9,23.7,24.7,0,5.31,25.3,0,5.31,0,22.8,22.8,0,0,5.06,25.3,0,5.09,0,21.6,21.4,
1547828276,22.7,17.9,23.7,24.7,0,5.31,25.3,0,5.33,0,22.8,22.7,0,0,5.08,25.3,0,5.1,0,21.6,21.4,
1547828397,22.7,17.9,23.7,24.7,0,5.29,25.3,0,5.33,0,22.8,22.6,0,0,5.06,25.3,0,5.09,0,21.5,21.4,
1547828517,22.7,17.9,23.6,24.7,0,5.26,25.3,0,5.31,0,22.9,22.8,0,0,5.05,25.3,0,5.08,0,21.6,21.5,
1547828637,22.7,17.9,23.6,24.7,0,5.33,25.3,0,5.34,0,22.8,22.7,0,0,5.06,25.3,0,5.1,0,21.5,21.4,
1547829048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1547829168,22.7,18,23.6,24.6,0,5.26,25.2,0,5.31,0,22.8,22.7,0,0,5.04,25.3,0,5.08,0,21.6,21.4,
1547829288,22.7,18,23.6,24.6,0,5.29,25.2,0,5.3,0,22.8,22.7,0,0,5.04,25.3,0,5.08,0,21.6,21.4,
1547829408,22.7,18,23.6,24.6,0,5.29,25.2,0,5.3,0,22.8,22.6,0,0,5.05,25.2,0,5.09,0,21.5,21.4,
1547829528,22.7,18,23.6,24.6,0,5.29,25.2,0,5.3,0,22.8,22.7,0,0,5.04,25.2,0,5.05,0,21.5,21.4,
1547829648,22.7,18,23.6,24.6,0,5.3,25.2,0,5.31,0,22.7,22.7,0,0,5.04,25.2,0,5.08,0,21.5,21.4,
1547829768,22.7,18,23.6,24.6,0,5.29,25.2,0,5.3,0,22.8,22.7,0,0,5.04,25.2,0,5.06,0,21.5,21.4,
1547829888,22.7,17.9,23.6,24.6,0,5.3,25.2,0,5.3,0,22.7,22.6,0,0,5.04,25.2,0,5.06,0,21.4,21.3,
1547830008,22.6,17.9,23.6,24.6,0,5.29,25.2,0,5.29,0,22.7,22.5,0,0,5.04,25.2,0,5.06,0,21.4,21.3,
1547830128,22.6,17.9,23.6,24.6,0,5.29,25.2,0,5.3,0,22.7,22.7,0,0,5.05,25.2,0,5.06,0,21.4,21.3,
1547830249,22.6,17.9,23.6,24.6,0,5.29,25.2,0,5.29,0,22.7,22.7,0,0,5.04,25.2,0,5.05,0,21.4,21.4,
1547830369,22.6,17.9,23.6,24.6,0,5.3,25.2,0,5.3,0,22.7,22.7,0,0,5.05,25.2,0,5.09,0,21.4,21.3,
1547830489,22.6,17.8,23.6,24.6,0,5.26,25.2,0,5.3,0,22.7,22.6,0,0,5.05,25.2,0,5.06,0,21.4,21.3,
1547830610,22.6,17.8,23.6,24.6,0,5.29,25.2,0,5.3,0,22.7,22.5,0,0,5.05,25.2,0,5.06,0,21.4,21.4,
1547830730,22.6,17.8,23.6,24.6,0,5.29,25.2,0,5.3,0,22.7,22.6,0,0,5.04,25.2,0,5.05,0,21.4,21.3,
1547830850,22.6,17.8,23.6,24.6,0,5.28,25.2,0,5.3,0,22.7,22.6,0,0,5.05,25.2,0,5.06,0,21.4,21.3,
1547831108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1547831228,22.6,17.8,23.5,24.5,0,5.25,25.2,0,5.29,0,22.7,22.5,0,0,5.04,25.2,0,5.06,0,21.4,21.3,
1547831349,22.6,17.8,23.5,24.5,0,5.28,25.2,0,5.3,0,22.7,22.5,0,0,5.05,25.2,0,5.05,0,21.3,21.3,
1547831469,22.6,17.8,23.5,24.5,0,5.24,25.2,0,5.28,0,22.8,22.5,0,0,5.04,25.2,0,5.03,0,21.3,21.3,
1547831590,22.6,17.8,23.5,24.5,0,5.25,25.2,0,5.29,0,22.7,22.5,0,0,5.05,25.2,0,5.06,0,21.4,21.3,
1547831710,22.6,17.7,23.5,24.5,0,5.26,25.2,0,5.26,0,22.7,22.6,0,0,5.03,25.2,0,5.03,0,21.4,21.3,
1547831830,22.6,17.7,23.5,24.5,0,5.23,25.2,0,5.28,0,22.6,22.5,0,0,5.04,25.2,0,5.03,0,21.4,21.3,
1547831951,22.6,17.7,23.5,24.5,0,5.25,25.2,0,5.28,0,22.6,22.5,0,0,5.03,25.2,0,5.03,0,21.3,21.3,
1547832208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1547832328,22.5,17.7,23.5,24.5,0,5.24,25.2,0,5.26,0,22.6,22.4,0,0,5.04,25.2,0,5.03,0,21.5,21.4,
1547832449,22.5,17.6,23.5,24.5,0,5.26,25.2,0,5.26,0,22.5,22.4,0,0,5.04,25.2,0,5.06,0,21.4,21.3,
1547832569,22.5,17.6,23.5,24.5,0,5.24,25.2,0,5.26,0,22.6,22.5,0,0,5.03,25.2,0,5.03,0,21.3,21.3,
1547832689,22.5,17.6,23.5,24.5,0,5.25,25.2,0,5.26,0,22.5,22.4,0,0,5.03,25.2,0,5.03,0,21.3,21.4,
1547832810,22.5,17.6,23.5,24.5,0,5.26,25.2,0,5.26,0,22.5,22.5,0,0,5.03,25.2,0,5.03,0,21.3,21.3,
