time,冰水入口溫度,冰水出口溫度,冷卻水入口溫度,冷卻水出口溫度,右機LEV開度Step,右機低壓,右機吐出溫度,右機電流,右機高壓,右耗電,右飽和冷凝溫度,右飽和蒸發溫度,壓縮機頻率,左機LEV開度Step,左機低壓,左機吐出溫度,左機電流,左機高壓,左耗電,左飽和冷凝溫度,左飽和蒸發溫度,設溫
1561046453,21,16.3,25.3,27.2,0,5.23,29.9,0,5.26,0,22.5,22.3,0,0,4.88,30.1,0,4.89,0,20.6,20.5,15
1561046633,21,16.3,25.3,27.2,0,5.24,29.9,0,5.26,0,22.7,22.5,0,0,4.89,30.1,0,4.9,0,20.7,20.5,15
1561046838,21.1,16.4,25.3,27.2,0,5.23,29.9,0,5.26,0,22.6,22.5,6553.5,0,4.88,30.1,0,4.91,0,20.6,20.5,15
1561047021,21.1,16.4,25.3,27.2,0,5.25,29.8,0,5.28,0,22.5,22.4,0,0,4.89,30,0,4.91,0,20.6,20.5,15
1561047203,21.1,16.5,25.3,27.2,0,5.21,29.8,0,5.26,0,22.6,22.4,0,0,4.9,30,0,4.89,0,20.8,20.5,15
1561047382,21.1,16.7,25.3,27.2,0,5.24,29.8,0,5.26,0,22.5,22.4,0,0,4.88,30,0,4.89,0,20.5,20.3,15
1561047563,21.1,16.7,25.3,27.2,0,5.25,29.8,0,5.28,0,22.5,22.3,0,0,4.9,30,0,4.93,0,20.5,20.5,15
1561047744,21.1,16.7,25.3,27.2,0,5.24,29.8,0,5.28,0,22.5,22.5,0,0,4.89,30,0,4.91,0,20.6,20.5,15
1561047925,21.1,16.8,25.3,27.2,0,5.21,29.8,0,5.26,0,22.5,22.4,0,0,4.89,30,0,4.91,0,20.6,20.5,15
1561048105,21.2,16.9,25.3,27.2,0,5.23,29.8,0,5.26,0,22.7,22.4,0,0,4.9,30,0,4.9,0,20.6,20.6,15
1561048285,21.2,17,25.3,27.1,0,5.25,29.8,0,5.28,0,22.7,22.4,0,0,4.9,30,0,4.91,0,20.6,20.6,15
1561048466,21.2,17,25.3,27.1,0,5.24,29.8,0,5.26,0,22.6,22.6,0,0,4.89,30,0,4.9,0,20.7,20.7,15
1561048719,21.2,17.1,25.3,27.1,0,5.24,29.7,0,5.3,0,22.7,22.5,0,0,4.9,30,0,4.9,0,20.6,20.5,15
1561048893,21.2,17.1,25.3,27.1,0,5.26,29.7,0,5.28,0,22.6,22.4,0,0,4.89,29.9,0,4.89,0,20.6,20.6,15
1561049082,21.2,17.2,25.3,27.1,0,5.26,29.7,0,5.28,0,22.6,22.5,0,0,4.89,29.9,0,4.94,0,20.6,20.6,15
1561049254,21.2,17.2,25.3,27.1,0,5.26,29.7,0,5.28,0,22.7,22.4,0,0,4.89,29.9,0,4.9,0,20.5,20.5,15
1561049436,21.2,17.3,25.3,27.1,0,5.28,29.7,0,5.3,0,22.7,22.5,0,0,4.91,29.9,0,4.91,0,20.6,20.6,15
1561049616,21.2,17.3,25.3,27.1,0,5.26,29.7,0,5.29,0,22.7,22.5,0,0,4.9,29.9,0,4.89,0,20.7,20.6,15
1561049797,21.2,17.4,25.3,27.1,0,5.24,29.7,0,5.29,0,22.7,22.5,0,0,4.89,29.9,0,4.9,0,20.7,20.6,15
1561049978,21.3,17.4,25.3,27.1,0,5.28,29.7,0,5.3,0,22.7,22.5,0,0,4.91,29.9,0,4.94,0,20.7,20.6,15
1561050159,21.3,17.5,25.4,27.1,0,5.25,29.7,0,5.31,0,22.7,22.5,0,0,4.9,29.9,0,4.89,0,20.7,20.5,15
1561050339,21.3,17.5,25.4,27.1,0,5.24,29.7,0,5.29,0,22.7,22.6,0,0,4.9,29.9,0,4.91,0,20.7,20.7,15
1561050519,21.3,17.5,25.4,27.1,0,5.29,29.7,0,5.29,0,22.7,22.6,0,0,4.91,29.9,0,4.94,0,20.7,20.7,15
1561050700,21.3,17.6,25.4,27.1,0,5.28,29.7,0,5.3,0,22.7,22.6,0,0,4.91,29.9,0,4.93,0,20.7,20.6,15
1561050953,21.3,17.6,25.4,27.1,0,5.26,29.6,0,5.29,0,22.7,22.6,0,0,4.91,29.9,0,4.9,0,20.9,20.7,15
1561051127,21.3,17.7,25.4,27.1,0,5.26,29.6,0,5.31,0,22.8,22.7,0,0,4.91,29.9,0,4.91,0,20.9,20.8,15
1561051307,21.3,17.8,25.4,27.1,0,5.29,29.6,0,5.31,0,22.8,22.7,0,0,4.93,29.8,0,4.95,0,20.8,20.8,15
1561051487,21.4,17.8,25.4,27.1,0,5.29,29.6,0,5.3,0,22.7,22.5,0,0,4.93,29.8,0,4.94,0,20.8,20.6,15
1561051668,21.4,17.9,25.4,27.1,0,5.29,29.6,0,5.31,0,22.7,22.7,0,0,4.93,29.8,0,4.93,0,20.8,20.8,15
1561051847,21.4,17.9,25.4,27.1,0,5.28,29.6,0,5.31,0,22.9,22.6,0,0,4.91,29.8,0,4.93,0,20.8,20.8,15
1561052057,21.4,17.9,25.4,27.1,0,5.3,29.6,0,5.33,0,22.9,22.7,0,0,4.94,29.8,0,4.96,0,20.8,20.8,15
1561052231,21.4,18,25.4,27.1,0,5.31,29.6,0,5.31,0,22.9,22.7,0,0,4.91,29.8,0,4.95,0,20.8,20.8,15
1561052411,21.4,18.1,25.4,27,0,5.3,29.6,0,5.31,0,22.9,22.7,0,0,4.93,29.8,0,4.91,0,20.9,20.8,15
1561052592,21.4,18.1,25.4,27,0,5.28,29.6,0,5.35,0,23,22.8,0,0,4.94,29.8,0,4.94,0,20.8,20.8,15
1561052772,21.4,18.1,25.4,27,0,5.29,29.6,0,5.33,0,22.8,22.7,0,0,4.94,29.8,0,4.94,0,20.8,20.8,15
1561052952,21.4,18.2,25.4,27,0,5.34,29.6,0,5.33,0,22.9,22.7,0,0,4.94,29.8,0,4.95,0,20.9,20.9,15
1561053135,21.4,18.2,25.4,27,0,5.31,29.6,0,5.35,0,22.9,22.9,0,0,4.93,29.8,0,4.94,0,20.9,20.8,15
1561053315,21.5,18.3,25.4,27,0,5.33,29.6,0,5.34,0,22.9,22.7,0,0,4.95,29.8,0,4.98,0,20.9,20.9,15
1561053495,21.5,18.3,25.4,27,0,5.3,29.6,0,5.34,0,22.9,22.7,0,0,4.95,29.8,0,4.96,0,20.8,20.8,15
1561053676,21.5,18.4,25.4,27,0,5.3,29.6,0,5.36,0,22.9,22.8,0,0,4.96,29.8,0,4.96,0,20.9,20.9,15
1561053856,21.5,18.4,25.4,27,0,5.3,29.6,0,5.34,0,22.9,22.9,0,0,4.95,29.8,0,4.94,0,20.9,20.9,15
1561054037,21.5,18.5,25.4,27,0,5.31,29.5,0,5.35,0,23,22.7,0,0,4.96,29.8,0,4.95,0,20.8,20.9,15
1561054218,21.5,18.5,25.4,27,0,5.33,29.5,0,5.36,0,23,22.7,0,0,4.98,29.8,0,4.96,0,20.9,20.9,15
1561054398,21.5,18.5,25.4,27,0,5.34,29.5,0,5.34,0,23,22.7,0,0,4.95,29.8,0,4.95,0,20.9,20.9,15
1561054578,21.5,18.6,25.4,27,0,5.34,29.5,0,5.35,0,23,22.9,0,0,4.95,29.8,0,4.95,0,21,20.9,15
1561054865,21.6,18.6,25.4,27,0,5.35,29.5,0,5.36,0,23,22.8,0,0,4.96,29.8,0,4.98,0,20.9,20.9,15
1561055042,21.6,18.7,25.4,27,0,5.34,29.5,0,5.36,0,23,22.9,0,0,4.96,29.7,0,4.96,0,21,20.9,15
1561055223,21.6,18.7,25.5,27,0,5.34,29.5,0,5.36,0,23,22.9,0,0,4.98,29.7,0,4.98,0,20.9,20.9,15
1561055413,21.6,18.7,25.5,27,0,5.36,29.5,0,5.38,0,23.1,23,0,0,4.99,29.7,0,4.99,0,21,21,15
1561055585,21.6,18.8,25.5,27,0,5.34,29.5,0,5.39,0,23.1,22.9,0,0,5,29.7,0,4.99,0,21.1,21.1,15
1561055765,21.6,18.8,25.5,27,0,5.33,29.5,0,5.36,0,23,23,0,0,4.98,29.7,0,4.96,0,21,21,15
1561055945,21.6,18.9,25.5,27,0,5.36,29.5,0,5.39,0,23,22.9,0,0,4.99,29.7,0,5.01,0,21.1,21,15
1561056125,21.6,18.9,25.5,27,0,5.34,29.5,0,5.36,0,23,22.9,0,0,4.99,29.7,0,4.99,0,21,21.1,15
1561056306,21.6,18.9,25.5,27,0,5.36,29.5,0,5.38,0,23,23,0,0,4.99,29.7,0,5.01,0,21.1,21.1,15
1561056487,21.7,19,25.5,27,0,5.35,29.5,0,5.39,0,23,22.9,0,0,5,29.7,0,5,0,21.1,21,15
1561056667,21.7,19,25.5,27,0,5.38,29.5,0,5.36,0,23,22.9,0,0,4.99,29.7,0,5.01,0,21.1,21.1,15
1561056847,21.7,19,25.5,27,0,5.36,29.5,0,5.39,0,23.1,23,0,0,5,29.7,0,5.01,0,21.1,21.1,15
1561057027,21.7,19,25.5,27,0,5.35,29.5,0,5.39,0,23,23,0,0,5.01,29.7,0,5.04,0,21.1,21.1,15
